구분,단계,세부분류,기업명,티커,시장,주요제품,시장점유율,주요수출국,고객사,특허수,매출액,영업이익,비고
Upstream,원자재,원자재(니켈 리튬 등 모두 포함),포스코홀딩스,005490,KOSPI,철강(매출 1위)·리튬/니켈 배터리원료,,,,,69094886192787,1827063210829,
Upstream,원자재,원자재(니켈 리튬 등 모두 포함),강원에너지,114190,KOSDAQ,수산화리튬·플랜트 기자재,,,,,212251840367,-6095759149,
Midstream,소재,전구체,고려아연,010130,KOSPI,비철금속 제련(아연·연·은·금),,,,,16587850779912,1231926775791,
Midstream,소재,전구체,에코프로머티,450080,KOSDAQ,하이니켈 전구체·고순도 니켈,,,,,392506172705,-65369476119,
Midstream,소재,전구체,피노,033790,KOSDAQ,이차전지 전구체·장비,,,,,264760884474,8847177396,
Midstream,소재,전구체,에코앤드림,101360,KOSDAQ,황산니켈·NCM 전구체,,,,,141958412396,-610261853,
Midstream,소재,양극재,에코프로비엠,247540,KOSDAQ,하이니켈 양극재(NCA·NCM),,,,,2531576384113,143309899725,
Midstream,소재,양극재,엘앤에프,066970,KOSDAQ,하이니켈 양극재(NCMA),,,,,2154938965103,-156849943423,
Midstream,소재,양극재,포스코퓨처엠,003670,KOSPI,양극재(에너지소재 1위),,,,,2938698184392,32827283494,
Midstream,소재,양극재,코스모신소재,005070,KOSPI,양극재(NCM)·기능성필름,,,,,456295847107,2378317974,
Midstream,소재,양극재,LG화학,051910,KOSPI,석유화학·첨단소재 양극재(연결 LG엔솔 최대),,,,,45932167000000,1180900000000,
Midstream,소재,음극재,대주전자재료,078600,KOSDAQ,실리콘 음극재·전극 페이스트,,,,,254613180231,20686125141,
Midstream,소재,분리막,SKIET,361610,KOSPI,습식 분리막,,,,,261874278000,-246364302000,
Midstream,소재,분리막,더블유씨피,393890,KOSPI,습식 분리막,,,,,110812962474,-127642966602,
Midstream,소재,전해질,엔켐,348370,KOSDAQ,전해액,,,,,312794042228,-78386657935,
Midstream,소재,전해질,천보,278280,KOSDAQ,전해질 첨가제(F·P계),,,,,133849589627,3710962944,
Midstream,소재,전해질,이수스페셜티케미컬,457190,KOSPI,전해질 소재(LiPF6)·황화리튬,,,,,411470361000,1615256000,
Midstream,소재,전해질,솔브레인,357780,KOSDAQ,반도체 공정소재(1위)·전해액,,,,,923381966875,133642405522,
Midstream,소재,전해질,덕산테코피아,317330,KOSDAQ,OLED/반도체 소재·전해액 첨가제,,,,,112078954483,-43026410473,
Midstream,소재,기타소재,롯데에너지머티리얼즈,020150,KOSPI,동박(전지박),,,,,677530806593,-145226366142,
Midstream,소재,기타소재,SKC,011790,KOSPI,화학(PO/PG)·동박(SK넥실리스),,,,,1840036441822,-305025449873,
Midstream,소재,기타소재,신흥에스이씨,243840,KOSDAQ,각형 배터리 캔·캡어셈블리,,,,,408233544783,5927334473,
Midstream,소재,기타소재,상신이디피,091580,KOSDAQ,배터리 캔(CAN)·부품,,,,,250083513076,8654871859,
Midstream,소재,기타소재,성우,458650,KOSDAQ,원형전지 부품(캡·케이스),,,,,85550263958,1040762216,
Midstream,소재,기타소재,나노신소재,121600,KOSDAQ,디스플레이/반도체 타깃·CNT 도전재,,,,,111745369751,4681087390,
Midstream,소재,기타소재,한솔케미칼,014680,KOSPI,과산화수소·반도체소재(바인더 일부),,,,,883968714104,156233146521,
Midstream,소재,기타소재,아이티엠반도체,084850,KOSDAQ,배터리 보호회로 모듈(PMP),,,,,603110608556,-6996601510,
Midstream,소재,기타소재,에코프로에이치엔,383310,KOSDAQ,환경소재(케미칼필터)·정밀소재,,,,,141057118027,11709586777,
Midstream,소재,기타소재,켐트로닉스,089010,KOSDAQ,반도체/디스플레이 케미칼·전자부품,,,,,637485933185,23201053154,
Midstream,소재,기타소재,OCI,456040,KOSPI,폴리실리콘·카본블랙·태양광,,,,,2009429144000,440425000,
Midstream,소재,기타소재,동진쎄미켐,005290,KOSDAQ,반도체 포토레지스트·발포제,,,,,1194144534567,172448889381,
Midstream,소재,기타소재,애경케미칼,161000,KOSPI,가소제·바이오디젤(하드카본 음극재 일부),,,,,1452334759000,-10193301000,
Midstream,소재,기타소재,이수화학,005950,KOSPI,석유화학(LAB)·정밀화학,,,,,1659477477000,6884026000,
Midstream,소재,기타소재,롯데케미칼,011170,KOSPI,석유화학(올레핀·첨단소재),,,,,18483005314922,-943115729953,
Midstream,소재,기타소재,한화솔루션,009830,KOSPI,신재생에너지(태양광)·케미칼,,,,,13333055000000,-364759000000,
Midstream,셀,셀,LG에너지솔루션,373220,KOSPI,배터리 셀/팩(자동차전지),,,,,23671759000000,1346120000000,
Midstream,셀,셀,삼성SDI,006400,KOSPI,중대형 배터리(자동차·ESS),,,,,13266730679499,-1722360788760,
Midstream,셀,셀,SK이노베이션,096770,KOSPI,석유사업(1위)·배터리(SK온),,,,,80296054243000,448683859000,
Midstream,부품,ESS,서진시스템,178320,KOSDAQ,통신/ESS 함체·금속가공 부품,,,,,1066330738953,1145784823,
Midstream,장비,장비,피엔티,137400,KOSDAQ,롤투롤 전극 공정장비,,,,,744889433349,95648148084,
Midstream,장비,장비,씨아이에스,222080,KOSDAQ,전극 공정장비(코터·캘린더),,,,,407181174584,33510401320,
Midstream,장비,장비,윤성에프앤씨,372170,KOSDAQ,믹싱 시스템,,,,,100175134197,-31641839337,
Midstream,장비,장비,하나기술,299030,KOSDAQ,조립·화성 장비,,,,,93832555999,-39810418,
Midstream,장비,장비,디이엔티,079810,KOSDAQ,디스플레이 장비·2차전지 노칭/레이저,,,,,73985134062,2549522798,
Midstream,장비,장비,엠플러스,259630,KOSDAQ,조립공정 턴키 장비(노칭·스태킹),,,,,184211329846,24565260931,
Midstream,장비,장비,탑머티리얼,360070,KOSDAQ,양극소재·2차전지 제조 턴키라인,,,,,23130641417,-35202548419,
Midstream,장비,장비,나인테크,267320,KOSDAQ,2차전지 조립·디개싱 장비,,,,,82368729078,-8923627485,
Midstream,장비,장비,이노메트리,302430,KOSDAQ,2차전지 X-ray 검사장비,,,,,38567691701,-5703408531,
Midstream,장비,장비,브이원텍,251630,KOSDAQ,비전 검사장비(2차전지·디스플레이),,,,,49002332510,-12829010735,
Midstream,장비,장비,원준,382840,KOSDAQ,양극재 소성로(RHK)·열처리,,,,,149100259243,6978485543,
Midstream,장비,장비,파인텍,131760,KOSDAQ,디스플레이 본딩·2차전지 장비,,,,,46345235298,-2931111879,
Midstream,장비,장비,티에스아이,277880,KOSDAQ,믹싱(슬러리) 시스템,,,,,264652706977,8245032951,
Midstream,장비,장비,코윈테크,282880,KOSDAQ,물류자동화 시스템(스마트팩토리),,,,,154701003144,-25447396955,
Midstream,장비,장비,원익피앤이,217820,KOSDAQ,충방전(포메이션) 장비,,,,,390690915662,1397938282,
Midstream,장비,장비,에스에프에이,056190,KOSDAQ,물류·공정 자동화 장비,,,,,1630950490066,85860974188,
Midstream,장비,장비,톱텍,108230,KOSDAQ,2차전지 조립장비·나노멤브레인,,,,,171001529881,-3144513149,
Midstream,장비,장비,유일에너테크,340930,KOSDAQ,노칭·스태킹 장비,,,,,60014953095,-2713122013,
Midstream,장비,장비,제일엠앤에스,412540,KOSDAQ,믹싱(슬러리 믹서) 장비,,,,,151265078664,-7242041704,
Midstream,장비,장비,에이프로,262260,KOSDAQ,활성화(충방전) 장비,,,,,147079619081,-5834695693,
Midstream,리사이클,폐배터리,성일하이텍,365340,KOSDAQ,폐배터리 재활용(메탈 회수),,,,,194629131476,-54533608529,
Midstream,리사이클,폐배터리,새빗켐,225530,KOSDAQ,폐배터리·반도체 폐액 재활용,,,,,38493462752,-4871625215,
Midstream,리사이클,폐배터리,코스모화학,005420,KOSPI,이산화티타늄(TiO2)·황산코발트(폐배터리 재활용),,,,,664155164378,-15986153874,
Downstream,애플리케이션,완성차,현대차,005380,KOSPI,완성차(승용·상용),,,,,186254472000000,11467851000000,
Downstream,애플리케이션,완성차,기아,000270,KOSPI,완성차(승용·RV),,,,,114140919000000,9078148000000,
Downstream,애플리케이션,완성차,케이지모빌리티,003620,KOSPI,완성차(SUV),,,,,4303636808271,36155571131,
